,Policy type,Event details,Event frequency,Event relevance,Previous attendance,Is presenting,CarbonReduction,LossFromReduction,Reputation,LossFromReputation,Optimal
322,Carbon tax/distance,Meetings,Medium,Medium,Low,No,1.03834,0.0,0.51539,0.0,No
323,Carbon tax/distance,Conference,Low,High,High,No,1.03834,0.0,0.51539,0.0,No
324,As-is,Workshop,Medium,High,Low,Yes,-1.38611,0.0,0.51539,0.0,No
325,Carbon tax/flight,Workshop,Medium,Medium,Low,Yes,0.85948,0.0,0.51539,0.0,No
326,Cap distance,Workshop,High,Medium,High,Yes,-0.51172,0.0,0.51539,0.0,No
327,Cap distance,Workshop,Medium,High,High,Yes,-0.51172,0.0,0.51539,0.0,No
328,As-is,Conference,Low,High,Medium,No,-1.38611,0.0,0.51539,0.0,No
329,Carbon tax/flight,Workshop,High,High,Medium,No,0.85948,0.0,0.51539,0.0,No
330,As-is,Conference,High,Low,Low,No,-1.38611,0.0,-1.94029,0.0,No
331,Carbon tax/distance,Meetings,Low,High,High,Yes,1.03834,0.0,0.51539,0.0,No
332,Cap distance,Workshop,Low,High,Medium,No,-0.51172,0.0,0.51539,0.0,No
333,Carbon tax/distance,Conference,Low,Low,High,Yes,1.03834,0.0,0.51539,0.0,No
334,Cap distance,Conference,Medium,Medium,High,No,-0.51172,0.0,0.51539,0.0,No
335,As-is,Meetings,High,Low,Low,Yes,-1.38611,0.0,0.51539,0.0,No
336,Carbon tax/distance,Workshop,Medium,Low,Low,Yes,1.03834,0.0,0.51539,0.0,No
337,As-is,Meetings,Low,High,Medium,Yes,-1.38611,0.0,0.51539,0.0,No
338,As-is,Conference,Low,Low,Medium,Yes,-1.38611,0.0,0.51539,0.0,No
339,Carbon tax/distance,Workshop,Low,Medium,Medium,Yes,1.03834,0.0,0.51539,0.0,No
340,As-is,Conference,High,Low,Medium,Yes,-1.38611,0.0,0.51539,0.0,No
341,Carbon tax/distance,Workshop,Low,Medium,High,No,1.03834,0.0,0.51539,0.0,No
342,Carbon tax/flight,Conference,Medium,High,Medium,Yes,0.85948,0.0,0.51539,0.0,No
343,Carbon tax/distance,Meetings,Low,Medium,Medium,Yes,1.03834,0.0,0.51539,0.0,No
344,Carbon tax/flight,Conference,Low,High,Low,Yes,0.85948,0.0,0.51539,0.0,No
345,As-is,Meetings,Medium,High,High,No,-1.38611,0.0,0.51539,0.0,No
346,Cap distance,Workshop,Low,High,High,No,-0.51172,0.0,0.51539,0.0,No
347,Carbon tax/flight,Conference,High,Medium,Medium,Yes,0.85948,0.0,0.51539,0.0,No
348,As-is,Meetings,High,Medium,High,No,-1.38611,0.0,-1.94029,0.0,No
349,Carbon tax/distance,Workshop,High,Low,High,Yes,1.03834,0.0,-1.94029,0.0,No
350,As-is,Conference,Low,Medium,Medium,No,-1.38611,0.0,0.51539,0.0,No
351,Cap distance,Meetings,Low,High,Medium,Yes,-0.51172,0.0,0.51539,0.0,No
352,Carbon tax/distance,Meetings,High,Medium,Medium,No,1.03834,0.0,0.51539,0.0,No
353,Carbon tax/flight,Meetings,Medium,Low,Medium,No,0.85948,0.0,-1.94029,0.0,No
354,As-is,Meetings,Low,Low,Medium,No,-1.38611,0.0,-1.94029,0.0,No
